,Date,Annual Income,Company,Engine,Price ($),Body Style,Price_to_Income,Holiday,Is_Holiday,Is_Weekend,model,Engine_to_Model,Income_Bracket,Seasonal_Price_Index,Company_Strength,PI_plus_model
0,2022-01-02,-1.3062252988144953,8,0,-0.13915635995866746,3,1.9259259259259258,11,0,1,22367.847619047618,0.0,0,27900.945554649265,29251.773222293403,22369.773544973545
1,2022-01-02,1.2958484835349993,7,0,-0.6130035313656572,3,0.012837837837837839,11,0,1,22465.016,0.0,3,27900.945554649265,26320.90148698885,22465.02883783784
2,2022-01-02,0.5062659174623603,4,1,0.23315213186111025,2,0.030434782608695653,11,0,1,42132.740909090906,2.3733947625434724e-05,2,27900.945554649265,41206.75684380032,42132.771343873515
3,2022-01-02,-1.3062252988144953,27,1,-0.9514657966563642,3,1.037037037037037,11,0,1,26243.83435582822,3.810273619722537e-05,0,27900.945554649265,29654.023674242424,26244.871392865258
4,2022-01-02,1.2692333408583936,0,0,-0.24069503954587956,1,0.016723549488054608,11,0,1,22819.45627376426,0.0,3,27900.945554649265,24800.212893553224,22819.472997313747
5,2022-01-02,0.17801249111755532,18,1,-1.086850702772647,1,0.01411764705882353,11,0,1,22098.373134328358,4.5250152297154375e-05,2,27900.945554649265,26632.481300813008,22098.38725197542
6,2022-01-02,1.5087696249478457,27,1,-0.9514657966563642,2,0.00875,11,0,1,26632.339805825242,3.7546924542346736e-05,3,27900.945554649265,29654.023674242424,26632.348555825243
7,2022-01-02,-1.3062252988144953,18,0,0.9439228889715949,2,3.111111111111111,11,0,1,38745.9756097561,0.0,0,27900.945554649265,26632.481300813008,38749.086720867206
8,2022-01-02,0.11591049153880845,5,1,3.651621011297251,0,0.10061349693251534,11,0,1,37202.617391304346,2.687910666003493e-05,2,27900.945554649265,26225.91652566272,37202.71800480128
9,2022-01-02,-1.3062252988144953,8,0,-0.8837733435982228,2,1.1111111111111112,11,0,1,12869.630136986301,0.0,0,27900.945554649265,29251.773222293403,12870.741248097413
10,2022-01-02,-1.3062252988144953,0,1,0.19930590533203954,3,2.2962962962962963,11,0,1,23593.351123595505,4.2383026121873345e-05,0,27900.945554649265,24800.212893553224,23595.6474198918
11,2022-01-02,-1.3062252988144953,19,0,1.2146927012041606,0,3.4074074074074074,11,0,1,32446.270916334663,0.0,0,27900.945554649265,26903.75442739079,32449.67832374207
12,2022-01-02,0.24011449069630222,17,0,-1.2899280619470712,3,0.010169491525423728,11,0,1,28814.316205533596,0.0,2,27900.945554649265,28246.747318235994,28814.32637502512
13,2022-01-02,-1.3062252988144953,2,0,-0.8837733435982228,1,1.1111111111111112,11,0,1,17283.5873015873,0.0,0,27900.945554649265,25092.390052356022,17284.69841269841
14,2022-01-02,-0.049103393056147575,6,1,-0.13915635995866746,4,0.036011080332409975,11,0,1,26483.79185520362,3.7757517803694736e-05,2,27900.945554649265,25802.790546802597,26483.827866283955
15,2022-01-02,-0.00651916477357828,26,1,-0.7483884374819401,1,0.022788203753351208,11,0,1,22511.45564516129,4.4419854313624586e-05,2,27900.945554649265,27928.91116751269,22511.478433365046
16,2022-01-02,-0.38090550509116666,10,1,-0.6806959844237986,1,0.03364485981308411,11,0,1,18112.666666666668,5.520693399090926e-05,1,27900.945554649265,19355.227091633467,18112.70031152648
